EC portal,Title/Identifier (if no DOI available),Description of the dataset/Abstract,Database Key words,Producer,Full name of corresponding author (with email contact),Year,Accessible y/n,Give the DOI (or URL) to access the dataset in the data repository,"Is this dataset reusable?
Yes/No","If the dataset is linked to a publication, specify the DOI of the publication",Licence,Code available (link),Link (html) to an image/logo/figure representing the database,geographical extent,No,Usefull for which diseases ,Concept ID (NCBI) ,Dataset or Software,Dataset type,Dashboard,Data produced by MOOD (Prod.) or only used (Used) within the project,Accessibility (Public or MPo -MOOD partners only),uuid,n
YES,MODIS v6.0 NDVI/EVI,"MODIS Vegetation Indices: 16-day MODIS Normalized Difference Vegetation Index (NDVI) and Enhanced Vegetation Index (EVI), resampled to 1 km resolution, reprojected to LAEA Europe (EPSG:3035), 10/2016 – 03/2017 and 08/2020 – 04/2021. 

Abstract: Normalized Difference Vegetation Index (NDVI) and Enhanced Vegetation Index (EVI) from MODIS data for Europe at 1 km resolution.

Source data:
- MODIS/Terra Vegetation Indices 16-Day L3 Global 500 m SIN Grid (MOD13A1 v006): https://lpdaac.usgs.gov/products/mod13a1v006/
- MODIS/Aqua Vegetation Indices 16-Day L3 Global 500 m SIN Grid (MYD13A1 v006): https://lpdaac.usgs.gov/products/myd13a1v006/


The MOD/MYD13A1 Version 6 product provide Vegetation Index (VI) values at a per pixel basis at 500 meter (m) spatial resolution. There are two primary vegetation layers. The first is the Normalized Difference Vegetation Index (NDVI), which is referred to as the continuity index to the existing National Oceanic and Atmospheric Administration-Advanced Very High Resolution Radiometer (NOAA-AVHRR) derived NDVI. The second vegetation layer is the Enhanced Vegetation Index (EVI), which has improved sensitivity over high biomass regions. The algorithm for this product chooses the best available pixel value from all the acquisitions from the 16 day period. The criteria used is low clouds, low view angle, and the highest NDVI/EVI value.","NDVI, EVI, vegetation index, MOOD-H2020, Europe",mundialis,"Metz Markus (metz@mundialis.de),
Haas Julia (haas@mundialis.de),
Neteler Markus (neteler@mundialis.de)",2022,Zenodo,https://doi.org/10.5281/zenodo.6573852,YES,,LP DAAC,,,,,"Lyme, TBE, WNV, USUTU",,Dataset,Covariate,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120105,105
NO,COVID-19 Scatterplots,"Statistical position of the counties or federal states in relation to the statewide or national averages of the 7-day incidence per 100,000 inhabitants and the percentage change in weekly new cases over the last week","scatterplot, Covid-19",mundialis,mundialis (info@mundialis.de),2021,yes,https://apps.mundialis.de/mood/covid19plots/,,https://mood-h2020.eu/covid-19-materials/covid-19-scatterplots/,,,,,,COVID-19,,Software,Disease data,Dashboard,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120147,147
NO,Extension of actinia for COG import,cloud based geoprocessing platform,"covariates, geoprocessing, cloud",mundialis,mundialis (info@mundialis.de),2023,Github,https://github.com/actinia-org/,YES,https://doi.org/10.5281/zenodo.8305131,GPL 3,https://github.com/actinia-org/,https://www.mundialis.de/wp-content/uploads/2022/03/actinia_logo.png,,,,,Software,Disease data,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120148,148
YES,Annual terrestrial Human Footprint dataset from 1982 to 2000,Human footprint dataset extrapolated to past periods 1982--2000. For each pixel we fit a logit-model and then extrapolate it to past years to produce assumed Human footprint prior to year 2000. This assumes simple linear trends in Human footprint.,,OPENGEOHUB,,2022,Zenodo,http://dx.doi.org/10.5281/zenodo.6458580 https://zenodo.org/records/6636562 ,YES,N/A,cc4.0,,,,,,,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120045,45
YES,"Long-term MODIS LST day-time and night-time temperatures, sd and differences at 1 km based on the 2000–2020 time series
                                        ","Layers include: Land Surface Temperature daytime monthly median value 2000–2017, Land Surface Temperature daytime monthly sd value 2000–2017, Land Surface Temperature daytime monthly day-night difference 2000–2017. Derived using the data.table package and quantile function in R. We derived four standard statistics: (1) lower 2.5% probability (l.025), median (m), upper 97.5% probability (u.975) and standard deviation (sd). Updated long-term values for 2000–2022+ are pending.

Includes also long-term trends (trend.logit.ols) which was produced by fitting regression models to de-seasonalized time-series as explained in this python tutorial. Basically models are fitted for each pixel and the model parameters are saved as images.

For more info about the MODIS LST product see: https://lpdaac.usgs.gov/products/mod11a2v006/. Antarctica is not included.",,OPENGEOHUB,,2022,Zenodo,http://dx.doi.org/10.5281/zenodo.6458406,YES,N/A,,,Not on the publication page,,,"Tularaemia, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120100,100
YES,"Monthly precipitation in mm at 1 km resolution (multisource average) based on SM2RAIN-ASCAT 2007-2021, CHELSA Climate and WorldClim","Monthly precipitation in mm at 1 km resolution based on SM2RAIN-ASCAT 2007-2021 (https://doi.org/10.5281/zenodo.2615278). Downscaled to 1 km resolution using gdalwarp (cubic splines) and combined with WorldClim (https://worldclim.org/data/worldclim21.html) and CHELSA Climate (https://chelsa-climate.org/downloads/) monthly values. Final values are estimated as a simple average between the three precipitation data sources; a more objective approach would be to use training points e.g. meteo-station monthly values, then train an ensemble model using the 3 data sources as independent variables. Another global data source of precipitation images is the monthly IMERGE dataset, however this requires transformation and is available only for limited span of years.",,OPENGEOHUB,,2022,Zenodo,http://dx.doi.org/10.5281/zenodo.6458580,YES,N/A,CC4.0,,Not on the publication page,,,"Tularaemia, Leptospirosis, Mosquito borne Flaviviruses",,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120106,106
YES,SM2RAIN-ASCAT (2007-2021) global daily satellite rainfall including aggregated values and trend parameters as 10km resolution GeoTIFFs,This is a GeoTIFF version of the SM2RAIN-ASCAT (2007-2021): global daily satellite rainfall from ASCAT soil moisture data set v1.1 (Brocca et al. 2019). Conversion steps are available here. ,,OPENGEOHUB,,2022,Zenodo,http://dx.doi.org/10.5281/zenodo.6459152,YES,https://doi.org/10.5194/essd-11-1583-2019,,,Not on the publication page,,,"Tularaemia, Leptospirosis, Mosquito borne Flaviviruses","C0041351, C0023364, ",Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120119,119
NO,EpiNorm,MOOD structured data normalisation tool,data normalisation,SIB Swiss Institute of Bioinformatics,"Orlin Topalov (orlin.topalov@sib.swiss), Dmitry Kuznetsov (dmitry.kuznetsov@sib.swiss), Robin Engler (robin.engler@sib.swiss)",2023,Github,,YES,,GNU General Public License,https://github.com/sib-swiss/epinorm,https://www.sib.swiss/themes/custom/sib/logo.svg,,,"HPAI, TBE, WNE",,Software,,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120141,141
NO,Novel-SARS-CoV-2-P1-Lineage-in-Brazi,Novel-SARS-CoV-2-P1-Lineage-in-Brazi,,SOTON,,2021,Github,https://github.com/CADDE-CENTRE/Novel-SARS-CoV-2-P1-Lineage-in-Brazil,YES,https://doi.org/10.1126/science.abh2644,,https://github.com/CADDE-CENTRE/Novel-SARS-CoV-2-P1-Lineage-in-Brazil,,,,COVID-19,C5203670,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120111,111
NO,Datasets of clinical and laboratory data of COVID-19,,,SOTON,,2021,Github,https://github.com/gubb673/MC-SEIR,YES,https://doi.org/10.1038/s41562-021-01063-2,,https://github.com/gubb673/MC-SEIR,,,,COVID-19,C5203670,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120122,122
NO,Untangling the changing impact of non-pharmaceutical interventions and vaccination on European COVID-19 trajectories,COVID-19 intervention and climate data and the analysing R code,COVID-19,SOTON,Shengjie Lai (shengjie.lai@soton.ac.uk),2022,Github,https://github.com/wxl1379457192/Vaccine-NPIs-in-EuropeV2,YES,https://doi.org/10.1038/s41467-022-30897-1,cc4.0,https://github.com/wxl1379457192/Vaccine-NPIs-in-EuropeV2,https://www.nature.com/articles/s41467-022-30897-1/figures/1,Europe,,COVID-19,,Software,,,,Public,c4702d92-80b3-11ee-b962-0242ac120123,123
NO,Prior water availability modifies the effect of heavy rainfall on dengue transmission,Dengue and climate data from southern China,Dengue,SOTON,Shengjie Lai (shengjie.lai@soton.ac.uk),2023,Github,https://github.com/qu-cheng/dengue_heavyrain,YES,https://doi.org/10.3389/fpubh.2023.1287678,cc4.0,https://github.com/qu-cheng/dengue_heavyrain,https://www.frontiersin.org/files/Articles/1287678/fpubh-11-1287678-HTML/image_m/fpubh-11-1287678-g004.jpg,Southern China ,,Dengue,,Dataset,Disease data,,,Public,c4702d92-80b3-11ee-b962-0242ac120124,124
NO,EpidBioBERT,BioSurveillance Document Classifier ,"NLP, text-mining",Strathmore University (Kenya) and CIRAD,Edmond Odhiambo Menya (edmondmenya@gmail.com),2022,Github,,,,,https://github.com/menya-edmond/EpidBioBERT,,,,,,Software,,,,Public,c4702d92-80b3-11ee-b962-0242ac120129,129
NO,EpidBioELECTRA,Enhanced and Explainable BioSurveillance Document classifier,"NLP, text-mining",Strathmore University (Kenya) and CIRAD,Edmond Odhiambo Menya (edmondmenya@gmail.com),2023,Github,,,,,https://github.com/menya-edmond/EpidBioELECTRA,,,,,,Software,,,,Public,c4702d92-80b3-11ee-b962-0242ac120130,130
NO,"files and scripts related to our study entitled ""Phylogeographic and phylodynamic approaches to epidemiological hypothesis testing""","This report gathers all the input files and scripts related to our study entitled ""Phylogeographic and phylodynamic approaches to epidemiological hypothesis testing"" (now on biorXiv): BEAST XML files of the continuous phylogeographic and skygrid-GLM analyses, as well as R scripts and related files needed to run all the landscape phylogeographic testing analyses. Continuous phylogeographic and phylodynamic (skygrid-GLM) inferences were performed with the Bayesian methods implemented in the open-source program BEAST. Subsequent dispersal statistics estimation and landscape phylogeographic analyses were implemented and performed with R functions available in the package ""seraphim"".",,ULB,,2020,Github,https://github.com/sdellicour/wnv_north_america,YES,https://doi.org/10.1038/s41467-020-19122-z,,https://github.com/sdellicour/wnv_north_america,,,,Viral diseases,,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120095,95
NO,covid19_spell,"Files and scripts related to our study entitled ""Investigating the drivers of the spatio-temporal heterogeneity in COVID-19 hospital incidence – Belgium as a study case""",,ULB/KU Leuven,,2021,yes,https://github.com/sdellicour/covid19_spell,NO,https://doi.org/10.1186/s12942-021-00281-1,,,,,,,,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120065,65
NO,new_york_variants,"Files and scripts related to our study entitled ""Variant-specific introduction and dispersal dynamics of SARS-CoV-2 in New York City – from Alpha to Omicron""",,ULB/KU Leuven,,2023,yes,https://github.com/sdellicour/new_york_variants,NO,https://doi.org/10.1371/journal.ppat.1011348,,,,,,,,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120110,110
NO,PhyCovA,"Files and scripts related to our study entitled ""PhyCovA – a tool for exploring covariates of pathogen spread” - software development)""",,ULB/KU Leuven,,2022,yes,https://github.com/TimBlokker/PhyCovA,NO,https://doi.org/10.1093/ve/veac015,,,,,,,,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120115,115
NO,sars_cov_2_pipeline,"Files and scripts related to our study entitled ""A phylodynamic workflow to rapidly gain insights into the dispersal history and dynamics of SARS-CoV-2 lineages""",,ULB/KU Leuven,,2021,yes,https://github.com/sdellicour/sars_cov_2_pipeline,NO,https://doi.org/10.1093/molbev/msaa284,,,,,,,,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120117,117
NO,SARS-CoV-2_EUR_PHYLOGEOGRAPHY,"Files and scripts related to our study entitled ""Untangling introductions and persistence in COVID-19 resurgence in Europe""",,ULB/KU Leuven,,2021,yes,https://github.com/phylogeography/SARS-CoV-2_EUR_PHYLOGEOGRAPHY,NO,"https://doi.org/10.1038/s41586-021-03754-2
",,,,,,,,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120118,118
YES,Code and Data for: Crowding and the shape of COVID-19 epidemics,Code and Data for: Crowding and the shape of COVID-19 epidemics,,UOXF,,2020,Github/Zenodo,"https://github.com/Emergent-Epidemics/COVID_crowding
https://zenodo.org/record/4056578#.X3IFF5NKiek",YES,https://doi.org/10.1038/s41591-020-1104-0,,"https://github.com/Emergent-Epidemics/COVID_crowding
https://github.com/alsnhll/SIRNestedNetwork",https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41591-020-1104-0/MediaObjects/41591_2020_1104_Fig2_HTML.png?as=webp,,,COVID-19,C5203670,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120050,50
NO,data and code for Establishment & lineage dynamics of the SARS-CoV-2 epidemic in the UK,data and code for Establishment & lineage dynamics of the SARS-CoV-2 epidemic in the UK,,UOXF,,2021,,"http://www.cogconsortium.uk/data/
http://www.ebi.ac.uk/ena/browser/view/PRJEB37886",YES,https://doi.org/10.1126/science.abf2946,,,,,,COVID-19,C5203670,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120066,66
